Date,ProductGrp,Cntry,Site,Type,Rank,Brand,Model,Name,Price,Curr
2018-12-31,Mobile,CZ,Datart,Tile,23,Honor,7S Dual SIM,Honor 7S Dual SIM ern (51092QPE),2490.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,3,Honor,8X 4GB/64GB Dual,Honor 8X 4GB/64GB Dual SIM,6190.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,17,ALCATEL,3C 5026D Dual,ALCATEL 3C 5026D Dual SIM modr (5026D-2BALE11),2690.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,14,ALCATEL,2051D,"Alcatel 2051D, stbrn",990.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,15,ALCATEL,3,Alcatel 3 (5052D),2290.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,16,ALCATEL,3V,Alcatel 3V (5099D),4511.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,17,ALCATEL,3X,Alcatel 3X (5058I),4073.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,18,ALCATEL,3X,Alcatel 3X (5058I),3993.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,22,ALCATEL,IDOL 4 PRO,Alcatel IDOL 4 PRO (6077X),12539.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,23,ALCATEL,IDOL 5S,Alcatel IDOL 5S (6060X),6714.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,12,ALCATEL,1X,Alcatel 1X (5059X),2390.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,13,ALCATEL,1X,Alcatel 1X (5059X),2390.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,9,ALCATEL,5V,Alcatel 5V (5060D),3790.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,19,ALCATEL,5V,Alcatel 5V (5060D),3790.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,20,ALCATEL,3C,Alcatel 3C (5026D),2690.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,21,ALCATEL,3C,Alcatel 3C (5026D),2690.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,24,Aligator,A321 Senior,"Aligator A321 Senior, ern",650.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,25,Aligator,A321 Senior,"Aligator A321 Senior, erven",660.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,21,myPhone,Hammer Energy LTE,myPhone Hammer Energy LTE Dual SIM ern/oranov (TELMYAHAENEROR),3690.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,24,myPhone,7300 Dual SIM,myPhone 7300 Dual SIM ern/stbrn (TELMY7300GR),666.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,2,ASUS,Zenfone 5z ZS620KL,ASUS Zenfone 5z ZS620KL 256GB Modr,14990.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,12,CPA,Halo 11 oran,CPA Halo 11 oranov (TELMY1011OR),899.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,16,Sony,Xperia XA1,Sony Xperia XA1 (G3112),4888.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,22,CPA,Halo 11 erven,CPA Halo 11 erven (TELMY1011RE),899.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,24,ASUS,ZenFone Max Pro,Asus ZenFone Max Pro ZB602KL 4GB/64GB,4990.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,25,iGET,Blackview GA30 ern,iGET Blackview GA30 ern (84000443),1990.0,CZK
2018-12-31,Mobile,SK,Nay,Tile,13,Apple,iPhone 6s 32,Apple iPhone 6s 32 GB ed,329.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,14,Apple,iPhone 6s 32,Apple iPhone 6s 32 GB ruov,329.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,15,Motorola,Moto E4 Dual,Motorola Moto E4 Dual SIM ed,90.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,16,Honor,7S,Honor 7S zlat,97.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,18,Apple,iPhone 6s 32,Apple iPhone 6s 32 GB zlat,329.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,1,HUAWEI,P20 Lite,Huawei P20 Lite modr,215.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,2,HUAWEI,P20 Lite,Huawei P20 Lite ierny,215.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,3,HUAWEI,P20 Lite,Huawei P20 Lite ruov,215.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,8,HUAWEI,Y5 2018,Huawei Y5 2018 ierny,109.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,9,HUAWEI,Y5 2018,Huawei Y5 2018 modr,109.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,5,HUAWEI,Y6 Prime 2018,Huawei Y6 Prime 2018 ierny,139.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,10,HUAWEI,Y6 Prime 2018,Huawei Y6 Prime 2018 modr,139.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,4,Samsung,Galaxy J3 Duos,Samsung Galaxy J3 Duos (2017),100.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,6,Samsung,Galaxy J3 Duos,Samsung Galaxy J3 Duos 2017 zlat,100.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,7,Samsung,Galaxy J3 Duos,Samsung Galaxy J3 Duos 2017 modr,100.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,11,Samsung,Galaxy J6 Dual,Samsung Galaxy J6 Dual SIM 32GB zlat,168.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,12,Samsung,Galaxy J6 Dual,Samsung Galaxy J6 Dual SIM 32GB ierny,168.0,EUR
2018-12-31,Mobile,SK,Nay,Tile,17,Samsung,Galaxy A7 64,Samsung Galaxy A7 64 GB modr,349.0,EUR
2019-01-02,Mobile,CZ,Mall,Tile,5,Samsung,Galaxy A7,Samsung Galaxy A7 (2018),6990.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,5,Samsung,Galaxy A7 Dual,Samsung Galaxy A7 Dual SIM modr,6999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,12,Samsung,Galaxy A7 Dual,Samsung Galaxy A7 Dual SIM ern,6999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,23,Samsung,Galaxy J6+ Dual,Samsung Galaxy J6+ Dual SIM ed,4499.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,24,Samsung,Galaxy J6 Duos,Samsung Galaxy J6 Duos fialov,4299.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,19,Samsung,Galaxy A6+ ern,Samsung Galaxy A6+ ern (SM-A605FZKNXEZ),6390.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,6,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3999.0,CZK
2019-01-02,Mobile,CZ,Datart,TOP,7,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3790.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,13,Samsung,Galaxy J5,Samsung Galaxy J5 (2017),3999.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,6,Samsung,Galaxy Note9 8/512GB,"Samsung Galaxy Note9, 8/512GB, ern",32490.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,22,Samsung,Galaxy S7 G930F,Samsung Galaxy S7 G930F 32GB,8073.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,20,Samsung,Galaxy S9 Plus,Samsung Galaxy S9 Plus G965F 64GB Dual SIM,13888.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,10,Samsung,Galaxy S8 G950F,Samsung Galaxy S8 G950F 64GB,10249.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,16,Samsung,Galaxy A7,Samsung Galaxy A7 (2018),6664.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,2,Samsung,Galaxy S9 G960F,Samsung Galaxy S9 G960F 64GB Dual SIM,12906.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,10,HUAWEI,Y6 Prime,HUAWEI Y6 Prime (2018),3499.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,18,HUAWEI,nova 3,HUAWEI nova 3 fialov,9999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,9,HUAWEI,P smart,HUAWEI P smart Black,4499.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,21,HUAWEI,P smart,HUAWEI P smart Gold,4499.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,22,HUAWEI,P smart,HUAWEI P smart Blue,4499.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,4,HUAWEI,P20 Lite Midnight,HUAWEI P20 Lite Midnight Black,6999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,8,HUAWEI,nova 3i,HUAWEI nova 3i fialov,6999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,11,HUAWEI,P20 Lite Sakura,HUAWEI P20 Lite Sakura Pink,6999.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,20,HUAWEI,P20 Lite Klein,HUAWEI P20 Lite Klein Blue,6999.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,14,HUAWEI,Nova 3 Dual,Huawei Nova 3 Dual SIM,8990.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,13,HUAWEI,Mate 20 Pro,Huawei Mate 20 Pro 6GB/128GB Dual SIM,20650.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,12,HUAWEI,P20 Pro 6GB/128GB,Huawei P20 Pro 6GB/128GB Dual SIM,15000.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,5,HUAWEI,P20 Lite 4GB/64GB,Huawei P20 Lite 4GB/64GB Dual SIM,5880.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,14,HUAWEI,P20 lite modr,Huawei P20 lite modr (SP-P20LDSLOM),6990.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,15,HUAWEI,Y5 2018 Dual,Huawei Y5 2018 Dual SIM modr (SP-Y518DSLOM),2790.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,18,HUAWEI,Y6 Prime 2018,Huawei Y6 Prime 2018 Dual SIM modr (SP-Y6P18DSLOM),3490.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,20,HUAWEI,Y6 Prime 2018,Huawei Y6 Prime 2018 Dual SIM ern (SP-Y6P18DSBOM),3490.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,22,HUAWEI,P smart Dual,Huawei P smart Dual SIM ern (SP-PSMDSBOM),4490.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,1,HUAWEI,P20 Lite Dual,"Huawei P20 Lite, Dual SIM, Midnight Black",6990.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,8,HUAWEI,Y6 Prime 2018,"Huawei Y6 Prime 2018 , DualSIM, modr",3490.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,10,HUAWEI,nova 3i 4/128GB,"Huawei nova 3i, 4/128GB, Iris Purple",6990.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,7,Xiaomi,Mi A2 Black,"Xiaomi Mi A2 Black, 4GB/64GB, CZ LTE, Global Version",6990.0,CZK
2019-01-02,Mobile,CZ,Mall,Tile,11,Xiaomi,Mi A2 Lite,"Xiaomi Mi A2 Lite Black 4GB/64GB, CZ LTE, Global Version",4790.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,12,Xiaomi,Redmi 6A Dual,Xiaomi Redmi 6A Dual SIM 16 GB ern (19840),2690.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,16,Xiaomi,Mi A2 64GB,Xiaomi Mi A2 64GB LTE Zlat,4999.0,CZK
2019-01-02,Mobile,CZ,Datart,Tile,16,Xiaomi,Mi A2 Lite,Xiaomi Mi A2 Lite 32 GB ern (19053),4590.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,17,Xiaomi,Redmi 6 3GB/64GB,Xiaomi Redmi 6 3GB/64GB LTE ern,3399.0,CZK
2019-01-02,Mobile,CZ,Alza,Tile,19,Xiaomi,Redmi Note 6,Xiaomi Redmi Note 6 Pro LTE 64GB ern,5399.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,18,Xiaomi,Redmi Note 6,Xiaomi Redmi Note 6 Pro 4GB/64GB,5060.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,15,Xiaomi,Redmi Note 5,Xiaomi Redmi Note 5 4GB/64GB,4475.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,17,Xiaomi,Mi 8 Lite,Xiaomi Mi 8 Lite 4GB/64GB,5926.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,9,Xiaomi,Mi A2 Lite,Xiaomi Mi A2 Lite 4GB/64GB,4420.0,CZK
2019-01-02,Mobile,CZ,Heureka,TOP,8,Xiaomi,Redmi 6,Xiaomi Redmi 6 3GB/32GB,2940.0,CZK
